id	name	add_name	description	popup
2003	Gauntlets of Ghost Pattern		u,Материал, который используется для изготовления Дварфами gauntlet of ghost. Может быть продан в магазине.\0	-1
2004	Adamantite Boots Design		u,Материал, который используется для изготовления Дварфами adamantite boots. Может быть продан в магазине.\0	-1
2005	Broadsword Blade		u,Материал, который используется для изготовления Дварфами broad sword. Может быть продан в магазине.\0	-1
2006	Willow Staff Head		u,Материал, который используется для изготовления Дварфами willow staff. Может быть продан в магазине.\0	-1
2007	Bow Shaft		u,Материал, который используется для изготовления Дварфами bow. Может быть продан в магазине.\0	-1
2008	Cedar Staff Head		u,Материал, который используется для изготовления Дварфами cedar staff. Может быть продан в магазине.\0	-1
2009	Dirk Blade		u,Материал, который используется для изготовления Дварфами dirk. Может быть продан в магазине.\0	-1
2010	Brandish Blade		u,Материал, который используется для изготовления Дварфами brandish. Может быть продан в магазине.\0	-1
2011	Short Spear Edge		u,Материал, который используется для изготовления Дварфами short spear. Может быть продан в магазине.\0	-1
2012	Sword of Reflection Blade		u,Материал, который используется для изготовления Дварфами sword of reflection. Может быть продан в магазине.\0	-1
2013	Forest Bow Shaft		u,Материал, который используется для изготовления Дварфами bow of forest. Может быть продан в магазине.\0	-1
2014	Iron Hammer Head		u,Материал, который используется для изготовления Дварфами iron hammer. Может быть продан в магазине.\0	-1
2015	Sword Breaker Edge		u,Материал, который используется для изготовления Дварфами sword breaker. Может быть продан в магазине.\0	-1
2016	Composition Bow Shaft		u,Материал, который используется для изготовления Дварфами composition bow. Может быть продан в магазине.\0	-1
2017	Saber Blade		u,Материал, который используется для изготовления Дварфами saber. Может быть продан в магазине.\0	-1
2018	Assassin Knife Edge		u,Материал, который используется для изготовления Дварфами assassin knife. Может быть продан в магазине.\0	-1
2019	Trident Edge		u,Материал, который используется для изготовления Дварфами trident. Может быть продан в магазине.\0	-1
2020	Temptation of Abyss Piece		u,Материал, который используется для изготовления Дварфами temptation of abyss. Может быть продан в магазине.\0	-1
2021	Spinebone Sword Blade		u,Материал, который используется для изготовления Дварфами spinebone sword. Может быть продан в магазине.\0	-1
2022	Mace of Judgment Head		u,Материал, который используется для изготовления Дварфами mace of judgment. Может быть продан в магазине.\0	-1
2023	Conjuror's Staff Head		u,Материал, который используется для изготовления Дварфами conjure staff. Может быть продан в магазине.\0	-1
2024	Elven Bow Shaft		u,Материал, который используется для изготовления Дварфами elven bow. Может быть продан в магазине.\0	-1
2025	Dwarven Trident Edge		u,Материал, который используется для изготовления Дварфами dwarven trident. Может быть продан в магазине.\0	-1
2026	Two-Handed Sword Edge		u,Материал, который используется для изготовления Дварфами two-handed sword. Может быть продан в магазине.\0	-1
2027	Spiked Club Head		u,Материал, который используется для изготовления Дварфами spike club. Может быть продан в магазине.\0	-1
2028	Shillien Knife Edge		u,Материал, который используется для изготовления Дварфами Shillien knife. Может быть продан в магазине.\0	-1
2029	Gastraphetes Shaft		u,Материал, который используется для изготовления Дварфами gastraphetes. Может быть продан в магазине.\0	-1
2030	Tome of Blood Page		u,Материал, который используется для изготовления Дварфами tome of blood. Может быть продан в магазине.\0	-1
2031	Morning Star Head		u,Материал, который используется для изготовления Дварфами morning star. Может быть продан в магазине.\0	-1
2032	Goat Head Staff Head		u,Материал, который используется для изготовления Дварфами goat head staff. Может быть продан в магазине.\0	-1
2033	Winged Spear Blade		u,Материал, который используется для изготовления Дварфами winged spear. Может быть продан в магазине.\0	-1
2034	Sword of Revolution Blade		u,Материал, который используется для изготовления Дварфами sword of revolution. Может быть продан в магазине.\0	-1
2035	Tarbar Head		u,Материал, который используется для изготовления Дварфами tarbar. Может быть продан в магазине.\0	-1
2036	Skull Breaker Head		u,Материал, который используется для изготовления Дварфами skull breaker. Может быть продан в магазине.\0	-1
2037	Heavy Bone Club Head		u,Материал, который используется для изготовления Дварфами heavy bone club. Может быть продан в магазине.\0	-1
2038	Maingauche Edge		u,Материал, который используется для изготовления Дварфами maingauche. Может быть продан в магазине.\0	-1
2039	Bich'Hwa Edge		u,Материал, который используется для изготовления Дварфами bich'hwa. Может быть продан в магазине.\0	-1
2040	Strengthened Long Bow Shaft		u,Материал, который используется для изготовления Дварфами strengthened long bow. Может быть продан в магазине.\0	-1
2041	War Pick Head		u,Материал, который используется для изготовления Дварфами war pick. Может быть продан в магазине.\0	-1
2042	Crucifix of Blood Piece		u,Материал, который используется для изготовления Дварфами crucifix of blood. Может быть продан в магазине.\0	-1
2043	Eye of Infinity Stone		u,Материал, который используется для изготовления Дварфами eye of infinity. Может быть продан в магазине.\0	-1
2044	Cursed Maingauche Edge		u,Материал, который используется для изготовления Дварфами cursed maingauche. Может быть продан в магазине.\0	-1
2045	Blue Crystal Skull Part		u,Материал, который используется для изготовления Дварфами blue crystal skull. Может быть продан в магазине.\0	-1
2046	Demon Fangs Part		u,Материал, который используется для изготовления Дварфами demon fangs. Может быть продан в магазине.\0	-1
2047	Claymore Blade		u,Материал, который используется для изготовления Дварфами claymore. Может быть продан в магазине.\0	-1
2048	Bonebreaker Head		u,Материал, который используется для изготовления Дварфами bonebreaker. Может быть продан в магазине.\0	-1
2049	Atuba Hammer Head		u,Материал, который используется для изготовления Дварфами Atuba hammer. Может быть продан в магазине.\0	-1
2050	Ghost Staff Head		u,Материал, который используется для изготовления Дварфами ghost staff. Может быть продан в магазине.\0	-1
2051	Staff of Life Shaft		u,Материал, который используется для изготовления Дварфами staff of life. Может быть продан в магазине.\0	-1
2052	Mithril Dagger Blade		u,Материал, который используется для изготовления Дварфами mithril dagger. Может быть продан в магазине.\0	-1
2053	Scallop Jamadhr Edge		u,Материал, который используется для изготовления Дварфами scallop jamadhr. Может быть продан в магазине.\0	-1
2054	Light Crossbow Shaft		u,Материал, который используется для изготовления Дварфами light crossbow. Может быть продан в магазине.\0	-1
2055	Glaive Edge		u,Материал, который используется для изготовления Дварфами glaive. Может быть продан в магазине.\0	-1
2056	Vajra Wand Frame		u,Материал, который используется для изготовления Дварфами vajra wand. Может быть продан в магазине.\0	-1
2057	Ancient Reagent Remnant		u,Материал, который используется для изготовления Дварфами ancient reagent. Может быть продан в магазине.\0	-1
2058	Atuba Mace Head		u,Материал, который используется для изготовления Дварфами Atuba mace. Может быть продан в магазине.\0	-1
2059	Flamberge Blade		u,Материал, который используется для изготовления Дварфами flamberge. Может быть продан в магазине.\0	-1
2060	Stormbringer Blade		u,Материал, который используется для изготовления Дварфами stormbringer. Может быть продан в магазине.\0	-1
2061	Big Hammer Head		u,Материал, который используется для изготовления Дварфами big hammer. Может быть продан в магазине.\0	-1
2062	Scythe Edge		u,Материал, который используется для изготовления Дварфами scythe. Может быть продан в магазине.\0	-1
2063	Battle Axe Head		u,Материал, который используется для изготовления Дварфами battle axe. Может быть продан в магазине.\0	-1
2064	Silver Axe Head		u,Материал, который используется для изготовления Дварфами silver axe. Может быть продан в магазине.\0	-1
2065	Skull Graver Head		u,Материал, который используется для изготовления Дварфами skull graver. Может быть продан в магазине.\0	-1
2066	Heavy Doom Hammer Head		u,Материал, который используется для изготовления Дварфами heavy doom hammer. Может быть продан в магазине.\0	-1
2067	Crystal Staff Head		u,Материал, который используется для изготовления Дварфами crystal staff. Может быть продан в магазине.\0	-1
2068	Stick of Faith Shaft		u,Материал, который используется для изготовления Дварфами stick of faith. Может быть продан в магазине.\0	-1
2069	Heavy Doom Axe Blade		u,Материал, который используется для изготовления Дварфами heavy doom axe. Может быть продан в магазине.\0	-1
2070	Cursed Dagger Blade		u,Материал, который используется для изготовления Дварфами cursed dagger. Может быть продан в магазине.\0	-1
2071	Wolverine Needle Edge		u,Материал, который используется для изготовления Дварфами wolverine needle. Может быть продан в магазине.\0	-1
2072	Dark Elven Dagger Edge		u,Материал, который используется для изготовления Дварфами dark elven dagger. Может быть продан в магазине.\0	-1
2073	Chakram Edge		u,Материал, который используется для изготовления Дварфами chakram. Может быть продан в магазине.\0	-1
2074	Crystallized Ice Bow Shaft		u,Материал, который используется для изготовления Дварфами crystallized ice bow. Может быть продан в магазине.\0	-1
2075	Orcish Glaive Blade		u,Материал, который используется для изготовления Дварфами orcish glaive. Может быть продан в магазине.\0	-1
2076	Body Slasher Blade		u,Материал, который используется для изготовления Дварфами body slasher. Может быть продан в магазине.\0	-1
2077	Shamshir Blade		u,Материал, который используется для изготовления Дварфами shamshir. Может быть продан в магазине.\0	-1
2078	Katana Blade		u,Материал, который используется для изготовления Дварфами katana. Может быть продан в магазине.\0	-1
2079	Bec De Corbin Blade		u,Материал, который используется для изготовления Дварфами bec de corbin. Может быть продан в магазине.\0	-1
2080	Spirit Sword Blade		u,Материал, который используется для изготовления Дварфами spirit sword. Может быть продан в магазине.\0	-1
2081	Raid Sword Blade		u,Материал, который используется для изготовления Дварфами raid sword. Может быть продан в магазине.\0	-1
2082	Cursed Staff Head		u,Материал, который используется для изготовления Дварфами cursed staff. Может быть продан в магазине.\0	-1
2083	Stiletto Edge		u,Материал, который используется для изготовления Дварфами stiletto. Может быть продан в магазине.\0	-1
2084	Soulfire Dirk Blade		u,Материал, который используется для изготовления Дварфами soulfire dirk. Может быть продан в магазине.\0	-1
2085	Crossbow Shaft		u,Материал, который используется для изготовления Дварфами crossbow. Может быть продан в магазине.\0	-1
2086	Elven Bow of Nobility Shaft		u,Материал, который используется для изготовления Дварфами elven bow of nobility. Может быть продан в магазине.\0	-1
2087	Tears of Fairy Drop		u,Материал, который используется для изготовления Дварфами tears of fairy. Может быть продан в магазине.\0	-1
2088	Horn of Glory Fragment		u,Материал, который используется для изготовления Дварфами horn of glory. Может быть продан в магазине.\0	-1
2089	Caliburs Edge		u,Материал, который используется для изготовления Дварфами caliburs. Может быть продан в магазине.\0	-1
2090	Sword of Delusion Blade		u,Материал, который используется для изготовления Дварфами sword of delusion. Может быть продан в магазине.\0	-1
2091	Tsurugi Blade		u,Материал, который используется для изготовления Дварфами tsurugi. Может быть продан в магазине.\0	-1
2092	Homunkulus's Sword Blade		u,Материал, который используется для изготовления Дварфами Homunkulus's sword. Может быть продан в магазине.\0	-1
2093	Poleaxe Blade		u,Материал, который используется для изготовления Дварфами poleaxe. Может быть продан в магазине.\0	-1
2094	Sword of Limit Blade		u,Материал, который используется для изготовления Дварфами sword of limit. Может быть продан в магазине.\0	-1
2095	Sword of Nightmare Blade		u,Материал, который используется для изготовления Дварфами sword of nightmare. Может быть продан в магазине.\0	-1
2096	Sword of Whispering Death Blade		u,Материал, который используется для изготовления Дварфами sword of whispering death. Может быть продан в магазине.\0	-1
2097	War Axe Blade		u,Материал, который используется для изготовления Дварфами war axe. Может быть продан в магазине.\0	-1
2098	Nirvana Axe Blade		u,Материал, который используется для изготовления Дварфами nirvana axe. Может быть продан в магазине.\0	-1
2099	Stick of Eternity Shaft		u,Материал, который используется для изготовления Дварфами stick of eternity. Может быть продан в магазине.\0	-1
2100	Paradia Staff Head		u,Материал, который используется для изготовления Дварфами paradia staff. Может быть продан в магазине.\0	-1
2101	Inferno Staff Head		u,Материал, который используется для изготовления Дварфами inferno staff. Может быть продан в магазине.\0	-1
2102	Paagrio Hammer Head		u,Материал, который используется для изготовления Дварфами Paagrio hammer. Может быть продан в магазине.\0	-1
2103	Sage's Staff Head		u,Материал, который используется для изготовления Дварфами sage's staff. Может быть продан в магазине.\0	-1
2104	Club of Nature Head		u,Материал, который используется для изготовления Дварфами club of nature. Может быть продан в магазине.\0	-1
2105	Mace of The Underworld Head		u,Материал, который используется для изготовления Дварфами mace of underworld. Может быть продан в магазине.\0	-1
2106	Grace Dagger Edge		u,Материал, который используется для изготовления Дварфами grace dagger. Может быть продан в магазине.\0	-1
2107	Dark Screamer Edge		u,Материал, который используется для изготовления Дварфами dark screamer. Может быть продан в магазине.\0	-1
2108	Fist Blade Piece		u,Материал, который используется для изготовления Дварфами fist blade. Может быть продан в магазине.\0	-1
2109	Akat Longbow Shaft		u,Материал, который используется для изготовления Дварфами akat long bow. Может быть продан в магазине.\0	-1
2110	Heathen's Book Page		u,Материал, который используется для изготовления Дварфами heathen's book. Может быть продан в магазине.\0	-1
2111	Hex Doll Fragment		u,Материал, который используется для изготовления Дварфами hex doll. Может быть продан в магазине.\0	-1
2112	Paagrio Axe Blade		u,Материал, который используется для изготовления Дварфами Paagrio axe. Может быть продан в магазине.\0	-1
2113	Scorpion Blade		u,Материал, который используется для изготовления Дварфами scorpion. Может быть продан в магазине.\0	-1
2114	Widowmaker Head		u,Материал, который используется для изготовления Дварфами widowmaker. Может быть продан в магазине.\0	-1
2115	Samurai Longsword Blade		u,Материал, который используется для изготовления Дварфами samurai longsword. Может быть продан в магазине.\0	-1
2116	Deadman's Staff Head		u,Материал, который используется для изготовления Дварфами deadman's staff. Может быть продан в магазине.\0	-1
2117	Ghoul's Staff Head		u,Материал, который используется для изготовления Дварфами ghoul's staff. Может быть продан в магазине.\0	-1
2118	Demon's Staff Head		u,Материал, который используется для изготовления Дварфами demon's staff. Может быть продан в магазине.\0	-1
2119	Crystal Dagger Blade		u,Материал, который используется для изготовления Дварфами crystal dagger. Может быть продан в магазине.\0	-1
2120	Great Pata Blade		u,Материал, который используется для изготовления Дварфами great pata. Может быть продан в магазине.\0	-1
2121	Eminence Bow Shaft		u,Материал, который используется для изготовления Дварфами eminence bow. Может быть продан в магазине.\0	-1
2122	Orcish Poleaxe Blade		u,Материал, который используется для изготовления Дварфами orcish poleaxe. Может быть продан в магазине.\0	-1
2123	Candle of Wisdom Model		u,Материал, который используется для изготовления Дварфами candle of wisdom. Может быть продан в магазине.\0	-1
2124	Blessed Branch Splinter		u,Материал, который используется для изготовления Дварфами blessed branch. Может быть продан в магазине.\0	-1
2125	Phoenix Feather Piece		u,Материал, который используется для изготовления Дварфами phoenix feather. Может быть продан в магазине.\0	-1
2126	Cerberus Eye Fragment		u,Материал, который используется для изготовления Дварфами Cerberus's eye. Может быть продан в магазине.\0	-1
2127	Scroll of Destruction Page		u,Материал, который используется для изготовления Дварфами scroll of destruction. Может быть продан в магазине.\0	-1
2128	Claws of Black Dragon Piece		u,Материал, который используется для изготовления Дварфами claws of black dragon. Может быть продан в магазине.\0	-1
2129	Three Eyed Crow's Feather Piece		u,Материал, который используется для изготовления Дварфами три eye crow's feather. Может быть продан в магазине.\0	-1
2130	Gemstone D		a,	-1
2131	Gemstone C		a,	-1
2132	Gemstone B		a,	-1
2133	Gemstone A		a,	-1
2134	Gemstone S		a,	-1
2135	Recipe: Braided Hemp		u,Долько для Дварфов. Рецепт на braided hemp. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2136	Recipe: Cokes		u,Долько для Дварфов. Рецепт на cokes. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2137	Recipe: Steel		u,Долько для Дварфов. Рецепт на steel. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2138	Recipe: Coarse Bone Powder		u,Долько для Дварфов. Рецепт на coarse bone powder. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2139	Recipe: Steel Mold		u,Долько для Дварфов. Рецепт на steel mold. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2140	Recipe: High Grade Suede		u,Долько для Дварфов. Рецепт на high-grade suede. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2141	Recipe: Silver Mold		u,Долько для Дварфов. Рецепт на silver mold. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2142	Recipe: Varnish of Purity		u,Долько для Дварфов. Рецепт на varnish of purity. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2143	Recipe: Synthetic Cokes		u,Долько для Дварфов. Рецепт на synthetic cokes. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2144	Recipe: Compound Braid		u,Долько для Дварфов. Рецепт на compound braid. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2145	Recipe: Mithril Alloy		u,Долько для Дварфов. Рецепт на mithril alloy. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2146	Recipe: Artisan's frame		u,Долько для Дварфов. Рецепт на artisan's frame. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2147	Recipe: Blacksmith's frame		u,Долько для Дварфов. Рецепт на blacksmith's frame. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2148	Recipe: Crafted Leather		u,Долько для Дварфов. Рецепт на crafted leather. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2149	Recipe: Metallic Fiber		u,Долько для Дварфов. Рецепт на metallic fiber. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2150	Recipe: Blue Diamond Necklace		u,Долько для Дварфов. Рецепт на blue diamond necklace. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2151	Recipe: Necklace of Devotion		u,Долько для Дварфов. Рецепт на necklace of devotion. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2152	Recipe: Enchanted Necklace		u,Долько для Дварфов. Рецепт на enchanted necklace. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2153	Recipe: Tiger's Eye Earring		u,Долько для Дварфов. Рецепт на tiger's eye earring. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2154	Recipe: Elven Earring		u,Долько для Дварфов. Рецепт на Elven Earrings. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2155	Recipe: Elven Ring		u,Долько для Дварфов. Рецепт на Elven Ring. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2156	Recipe: Elven Necklace		u,Долько для Дварфов. Рецепт на Elven Necklace. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2157	Recipe: Omen Beast's Eye Earring		u,Долько для Дварфов. Рецепт на Onyx Beast's eye earring. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2158	Recipe: Mithril Ring		u,Долько для Дварфов. Рецепт на mithril ring. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2159	Recipe: Necklace of Darkness		u,Долько для Дварфов. Рецепт на necklace of darkness. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2160	Recipe: Moonstone Earring		u,Долько для Дварфов. Рецепт на moonstone earrings. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2161	Recipe: Aquastone Ring		u,Долько для Дварфов. Рецепт на aquastone ring. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2162	Recipe: Aquastone Necklace		u,Долько для Дварфов. Рецепт на aquastone necklace. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2163	Recipe: Earring of Protection		u,Долько для Дварфов. Рецепт на earrings of protection. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2164	Recipe: Ring of Protection		u,Долько для Дварфов. Рецепт на ring of protection. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2165	Recipe: Necklace of Protection		u,Долько для Дварфов. Рецепт на necklace of protection. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2166	Recipe: Earring of Binding(100%)		u,Долько для Дварфов. Рецепт на earrings of blinding. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2167	Recipe: Ring of Ages		u,Долько для Дварфов. Рецепт на ring of ages. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2168	Recipe: Necklace of Mermaid		u,Долько для Дварфов. Рецепт на necklace of mermaid. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2169	Recipe: Necklace of Binding		u,Долько для Дварфов. Рецепт на necklace of blinding. Для изготовления требуется уровень умения 6. Шанс создания 100%.\0	-1
2170	Recipe: Nassen's Earring		u,Долько для Дварфов. Рецепт на Nassen's earrings. Для изготовления требуется уровень умения 6. Шанс создания 100%.\0	-1
2171	Recipe: Sage's Ring		u,Долько для Дварфов. Рецепт на sage's ring. Для изготовления требуется уровень умения 7. Шанс создания 100%.\0	-1
2172	Recipe: Sage's Necklace		u,Долько для Дварфов. Рецепт на sage's necklace. Для изготовления требуется уровень умения 7. Шанс создания 100%.\0	-1
2173	Recipe: Hard Leather Shirt		u,Долько для Дварфов. Рецепт на hard leather shirt. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2174	Recipe: Hard Leather Gaiters		u,Долько для Дварфов. Рецепт на hard leather gaiters. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2175	Recipe: Boots		u,Долько для Дварфов. Рецепт на boots. Для изготовления требуется уровень умения 1. Шанс создания 100%.\0	-1
2176	Recipe: Leather Boots		u,Долько для Дварфов. Рецепт на leather boots. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2177	Recipe: Bone Helmet		u,Долько для Дварфов. Рецепт на bone helmet. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2178	Recipe: Dark Stockings		u,Долько для Дварфов. Рецепт на dark stockings. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2179	Recipe: Excellent Leather Gloves		u,Долько для Дварфов. Рецепт на excellent leather gloves. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2180	Recipe: Scale Mail		u,Долько для Дварфов. Рецепт на scale mail. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2181	Recipe: White Tunic		u,Долько для Дварфов. Рецепт на white tunic. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2182	Recipe: Scale Gaiters		u,Долько для Дварфов. Рецепт на scale gaiters. Для изготовления требуется уровень умения 2. Шанс создания 100%.\0	-1
2183	Recipe: Mithril Banded Mail		u,Долько для Дварфов. Рецепт на mithril banded mail. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2184	Recipe: Mithril Banded Gaiters		u,Долько для Дварфов. Рецепт на mithril banded gaiters. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2185	Recipe: Iron Boots		u,Долько для Дварфов. Рецепт на iron boots. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2186	Recipe: Brigandine Tunic		u,Долько для Дварфов. Рецепт на Brigandine. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2187	Recipe: Manticore Skin Shirt		u,Долько для Дварфов. Рецепт на Manticore leather shirt. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2188	Recipe: Manticore Skin Gaiters		u,Долько для Дварфов. Рецепт на Manticore leather gaiters. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2189	Recipe: Mithril Tunic		u,Долько для Дварфов. Рецепт на mithril tunic. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2190	Recipe: Mithril Stockings		u,Долько для Дварфов. Рецепт на mithril stockings. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2191	Recipe: RIP Gauntlets		u,Долько для Дварфов. Рецепт на rip gauntlets. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2192	Recipe: Kite Shield		u,Долько для Дварфов. Рецепт на kite shield. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2193	Recipe: Boots of Power		u,Долько для Дварфов. Рецепт на boots of power. Для изготовления требуется уровень умения 3. Шанс создания 100%.\0	-1
2194	Recipe: Mithril Gloves		u,Долько для Дварфов. Рецепт на mithril gloves. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2195	Recipe: Half Plate Armor		u,Долько для Дварфов. Рецепт на half plate. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2196	Recipe: Plate Gaiters		u,Долько для Дварфов. Рецепт на plate gaiters. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2197	Recipe: Salamander Skin Mail		u,Долько для Дварфов. Рецепт на salamander skin mail. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2198	Recipe: Sage's Rag		u,Долько для Дварфов. Рецепт на sage's rag. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2199	Recipe: Karmian Stockings		u,Долько для Дварфов. Рецепт на Karmian stockings. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2200	Recipe: Chain Helmet		u,Долько для Дварфов. Рецепт на chain helmet. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2201	Recipe: Square Shield		u,Долько для Дварфов. Рецепт на square shield. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2202	Recipe: Assault Boots		u,Долько для Дварфов. Рецепт на assault boots. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2203	Recipe: Mithril Boots		u,Долько для Дварфов. Рецепт на tempered mithril boots. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2204	Recipe: Chain Mail Shirt		u,Долько для Дварфов. Рецепт на chain mail shirt. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2205	Recipe: Chain Gaiters		u,Долько для Дварфов. Рецепт на chain gaiters. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2206	Recipe: Mithril Shirt		u,Долько для Дварфов. Рецепт на tempered mithril shirt. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2207	Recipe: Karmian Tunic		u,Долько для Дварфов. Рецепт на Karmian tunic. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2208	Recipe: Ogre Power Gauntlets		u,Долько для Дварфов. Рецепт на ogre power gauntlets. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2209	Recipe: Eldarake		u,Долько для Дварфов. Рецепт на Eldarake. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2210	Recipe: Steel Plate Helmet		u,Долько для Дварфов. Рецепт на metal plate helmet. Для изготовления требуется уровень умения 4. Шанс создания 100%.\0	-1
2211	Recipe: Plate Leather Armor		u,Долько для Дварфов. Рецепт на plate leather armor. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2212	Recipe: Plate Leather Gaiters		u,Долько для Дварфов. Рецепт на plated leather gaiters. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2213	Recipe: Dwarven Chain Mail Shirt		u,Долько для Дварфов. Рецепт на Dwarven chain mail shirt. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2214	Recipe: Dwarven Chain Gaiters		u,Долько для Дварфов. Рецепт на Dwarven chain gaiters. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2215	Recipe: Robe of Seal		u,Долько для Дварфов. Рецепт на robe of seal. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2216	Recipe: Great Helmet		u,Долько для Дварфов. Рецепт на great helmet. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
2217	Recipe: Knight Shield		u,Долько для Дварфов. Рецепт на knight shield. Для изготовления требуется уровень умения 5. Шанс создания 100%.\0	-1
